pdv_code,lat,lon,demanda,frecuencia,sector,visitas,hora_inicio,hora_fin,cluster
995907,20.57511,-100.3732,330,1,ZN8,x,,,10
997209,20.61365,-100.4477,930,2,1D7,x,,,11
997841,20.56962,-100.4161,770,2,ZN6,x,,,8
999329,20.61422,-100.4342,1200,1,X11,x,,,7
999331,20.60936,-100.4329,330,1,X11,x,,,10
999480,20.5712,-100.3921,3360,2,M87,x,,,9
1002487,20.74146,-100.4532,770,1,M79,x,07:00,13:00,1
1006445,20.53474,-100.4056,3000,2,ZN6,x,,,6
1007254,20.66135,-100.473,540,2,ZN9,x,,,11
1007255,20.63431,-100.4737,180,2,XC6,x,,,0
1010184,20.62999,-100.4147,220,2,M81,x,,,4
1013180,20.60463,-100.4377,850,1,X11,x,,,4
1026360,20.74108,-100.4466,1100,1,M79,x,,,9
1033275,20.63904,-100.4527,1800,2,XC6,x,,,1
1035915,20.6266,-100.39545,510,2,M92,x,,,11
1054243,20.5902,-100.3797,360,1,ZN8,x,07:00,13:00,3
1054252,20.57138,-100.4199,2300,2,ZN6,100100,,,2
1060034,20.60524,-100.4021,440,2,XC5,x,,,8
1060114,20.60472,-100.3927,320,2,XC5,x,,,10
1061240,20.601127,-100.447848,600,1,1D7,x,,,5
1062451,20.62174,-100.461,880,2,1D7,x,,,5
1062767,20.64619,-100.4545,1800,1,ZN9,x,,,1
1063028,20.59205,-100.3876,690,1,ZN8,x,,,7
1063584,20.60507,-100.4058,360,2,XC5,x,,,3
1063834,20.5657,-100.388,350,1,1D4,x,,,8
1063835,20.58059,-100.3881,760,2,M87,x,,,9
1068054,20.6484,-100.40259,1000,2,M92,x,,,6
1068634,20.60258,-100.3889,730,1,XC5,x,,,10
1070248,20.63282,-100.4717,180,2,XC6,x,,,2
1071038,20.60569,-100.4239,980,2,X11,x,,,5
1071595,20.5596,-100.3838,1000,2,1D4,x,07:00,13:00,4
1071630,20.55842,-100.3745,480,2,1D4,x,,,9
1075352,20.5528,-100.38712,2100,1,1D4,x,,,6
1075353,20.55011,-100.3902,180,1,1D4,x,07:00,13:00,6
1075861,20.63199,-100.39915,290,2,M92,x,,,6
1077588,20.63284,-100.39529,550,2,M92,x,,,0
1077589,20.6104393,-100.4434967,390,1,1D7,x,,,2
1080924,20.62428,-100.4589,1600,2,1D7,x,,,2
1082356,20.62552,-100.4671,930,2,1D7,x,,,1
1082844,20.62698,-100.4564,1400,2,XC6,x,,,7
1083546,20.55038,-100.3894,1000,1,1D4,x,07:00,13:00,4
1084235,20.64466,-100.4733,1200,2,ZN9,x,,,7
1089516,20.5462,-100.4097,850,2,ZN6,10010,,,0
1089617,20.64598,-100.38891,710,2,M77,x,,,4
1094119,20.542962,-100.402917,640,1,ZN6,x,,,0
1095568,20.54125,-100.4041,1400,2,ZN6,x,,,12
1096822,20.65173,-100.39663,670,2,M77,x,,,0
1097399,20.82445,-100.4688,380,1,M79,x,,,0
1098749,20.63621,-100.4594,1500,2,XC6,x,,,12
1102983,20.62789,-100.4688,250,2,XC6,x,07:00,13:00,11
1102984,20.62627,-100.4732,370,2,XC6,x,07:00,13:00,3
1103097,20.60844,-100.4682,430,1,1D7,x,07:00,13:00,4
1103102,20.62088,-100.4702,300,2,1D7,x,,,4
1103103,20.65221,-100.4557,2000,1,ZN9,1000,,,7
1103190,20.64306,-100.4659,370,2,ZN9,x,,,4
1103228,20.65351,-100.4503,1120,2,ZN9,x,,,3
1103229,20.64161,-100.4758,490,2,ZN9,x,,,4
1103231,20.6274,-100.4702,180,2,XC6,x,07:00,13:00,3
1105698,20.55658,-100.3905,540,1,1D4,x,,,4
1116100,20.61202,-100.438,560,1,X11,x,,,4
1116443,20.58392,-100.3676,1700,2,ZN8,10010,,,6
1116454,20.53479958,-100.408699,550,2,ZN6,x,,,1
1116462,20.82609,-100.47,370,1,M79,x,,,8
1116694,20.64431,-100.4715,510,2,ZN9,x,,,0
1116706,20.63938,-100.4626,600,2,XC6,x,,,11
1116845,20.63977,-100.462,870,2,XC6,x,,,4
1116965,20.63614,-100.4584,220,2,XC6,x,,,3
1116967,20.63936,-100.4775,1300,2,XC6,x,,,3
